Installation Postcode,Count - Technology
BS14 ,117
BS15 ,180
BS16 ,246
BS2 ,19
BS20 ,192
BS21 ,120
BS22 ,198
BS23 ,185
BS24 ,225
BS25 ,59
BS26 ,48
BS27 ,47
BS28 ,30
BS29 ,16
BS3 ,63
BS30 ,114
BS31 ,77
BS32 ,83
BS34 ,130
BS35 ,136
BS36 ,81
BS37 ,229
BS39 ,79
BS4 ,133
BS40 ,116
BS41 ,47
BS48 ,196
BS49 ,88
BS5 ,113
BS6 ,75
BS7 ,121
BS8 ,40
BS9 ,113
CA1 ,180
CA10 ,156
CA11 ,147
CA12 ,44
CA13 ,84
CA14 ,156
CA15 ,80
CA16 ,73
CA17 ,40
CA18 ,4
CA19 ,16
CA2 ,136
CA20 ,45
CA21 ,6
CA22 ,37
CA23 ,5
CA24 ,4
CA25 ,41
CA26 ,14
CA27 ,10
CA28 ,102
CA3 ,48
CA4 ,89
CA5 ,66
CA6 ,221
CA7 ,254
CA8 ,93
CA9 ,12
CB1 ,171
CB10 ,88
CB11 ,144
CB2 ,71
CB21 ,424
CB22 ,611
CB23 ,349
CB24 ,656
CB25 ,216
CB3 ,113
CB4 ,85
CB5 ,30
CB6 ,269
CB7 ,151
CB8 ,134
CB9 ,144
CF10 ,5
CF11 ,45
CF14 ,198
CF15 ,71
CF23 ,115
CF24 ,38
CF3 ,360
CF31 ,253
CF32 ,126
CF33 ,82
CF34 ,168
CF35 ,80
CF36 ,54
CF37 ,216
CF38 ,176
CF39 ,228
CF40 ,63
CF41 ,41
CF42 ,37
CF43 ,67
CF44 ,159
CF45 ,138
CF46 ,81
CF47 ,58
CF48 ,108
CF5 ,246
CF61 ,69
CF62 ,171
CF63 ,126
CF64 ,173
CF71 ,57
CF72 ,184
CF81 ,32
CF82 ,116
CF83 ,246
CH1 ,113
CH2 ,95
CH3 ,122
CH4 ,104
CH41 ,17
CH42 ,42
CH43 ,153
CH44 ,43
CH45 ,55
CH46 ,184
CH47 ,29
CH48 ,59
CH49 ,174
CH5 ,161
CH6 ,98
CH60 ,36
CH61 ,63
CH62 ,85
CH63 ,84
CH64 ,89
CH65 ,145
CH66 ,198
CH7 ,293
CH8 ,103
CM0 ,143
CM1 ,239
CM11 ,86
CM12 ,61
CM13 ,61
CM14 ,26
CM15 ,73
CM16 ,57
CM17 ,60
CM18 ,41
CM19 ,84
CM2 ,208
CM20 ,53
CM21 ,44
CM22 ,78
CM23 ,111
CM24 ,49
CM3 ,278
CM4 ,52
CM5 ,47
CM6 ,182
CM7 ,236
CM77 ,91
CM8 ,180
CM9 ,195
CO1 ,31
CO10 ,359
CO11 ,137
CO12 ,143
CO13 ,112
CO14 ,72
CO15 ,288
CO16 ,231
CO2 ,258
CO3 ,221
CO4 ,360
CO5 ,285
CO6 ,290
CO7 ,374
CO8 ,16
CO9 ,192
CR0 ,205
CR2 ,81
CR3 ,49
CR4 ,42
CR5 ,59
CR6 ,26
CR7 ,37
CR8 ,55
CR9 ,1
CT1 ,59
CT10 ,117
CT11 ,63
CT12 ,106
CT13 ,49
CT14 ,145
CT15 ,80
CT16 ,61
CT17 ,71
CT18 ,95
CT19 ,87
CT2 ,68
CT20 ,63
CT21 ,67
CT3 ,91
CT4 ,109
CT5 ,176
CT6 ,172
CT7 ,60
CT8 ,16
CT9 ,121
CV1 ,26
CV10 ,241
CV11 ,157
CV12 ,160
CV13 ,64
CV2 ,156
CV21 ,122
CV22 ,136
CV23 ,157
CV3 ,294
CV31 ,128
CV32 ,137
CV33 ,29
CV34 ,183
CV35 ,159
CV36 ,56
CV37 ,202
CV4 ,88
CV47 ,79
CV5 ,119
CV6 ,167
CV7 ,108
CV8 ,117
CV9 ,130
CW1 ,208
CW10 ,42
CW11 ,116
CW12 ,159
CW2 ,167
CW3 ,62
CW4 ,48
CW5 ,129
CW6 ,65
CW7 ,215
CW8 ,248
CW9 ,132
DA1 ,139
DA10 ,7
DA11 ,283
DA12 ,575
DA13 ,67
DA14 ,34
DA15 ,35
DA16 ,50
DA17 ,19
DA18 ,3
DA2 ,73
DA3 ,56
DA4 ,17
DA5 ,30
DA6 ,19
DA7 ,41
DA8 ,51
DA9 ,21
DD1 ,10
DD10 ,129
DD11 ,148
DD2 ,104
DD3 ,51
DD4 ,89
DD5 ,121
DD6 ,46
DD7 ,75
DD8 ,281
DD9 ,65
DE1 ,19
DE11 ,297
DE12 ,181
DE13 ,259
DE14 ,74
DE15 ,118
DE21 ,319
DE22 ,174
DE23 ,229
DE24 ,349
DE3 ,122
DE4 ,238
DE45 ,43
DE5 ,136
DE55 ,343
DE56 ,208
DE6 ,270
DE65 ,190
DE7 ,294
DE72 ,130
DE73 ,114
DE74 ,59
DE75 ,102
DG1 ,111
DG10 ,19
DG11 ,91
DG12 ,70
DG13 ,11
DG14 ,12
DG16 ,16
DG2 ,100
DG3 ,24
DG4 ,12
DG5 ,33
DG6 ,27
DG7 ,67
DG8 ,65
DG9 ,71
DH1 ,290
DH2 ,124
DH3 ,115
DH4 ,477
DH5 ,380
DH6 ,185
DH7 ,314
DH8 ,237
DH9 ,199
DL1 ,219
DL10 ,156
DL11 ,57
DL12 ,105
DL13 ,107
DL14 ,247
DL15 ,210
DL16 ,194
DL17 ,108
DL2 ,170
DL3 ,168
DL4 ,57
DL5 ,259
DL6 ,185
DL7 ,199
DL8 ,205
DL9 ,68
DN1 ,4
DN10 ,117
DN11 ,305
DN12 ,170
DN14 ,368
DN15 ,669
DN16 ,358
DN17 ,462
DN18 ,178
DN19 ,92
DN2 ,110
DN20 ,187
DN21 ,330
DN22 ,286
DN3 ,264
DN31 ,15
DN32 ,54
DN33 ,108
DN34 ,157
DN35 ,123
DN36 ,137
DN37 ,296
DN38 ,34
DN39 ,24
DN4 ,395
DN40 ,184
DN41 ,61
DN5 ,323
DN6 ,254
DN7 ,186
DN8 ,138
DN9 ,215
DT1 ,67
DT10 ,85
DT11 ,127
DT2 ,178
DT3 ,122
DT4 ,95
DT5 ,51
DT6 ,181
DT7 ,69
DT8 ,49
DT9 ,136
DY1 ,158
DY10 ,167
DY11 ,104
DY12 ,79
DY13 ,113
DY14 ,65
DY2 ,100
DY3 ,95
DY4 ,146
DY5 ,136
DY6 ,117
DY7 ,30
DY8 ,165
DY9 ,106
E1 ,16
E10 ,22
E11 ,58
E12 ,14
E13 ,10
E14 ,15
E15 ,25
E16 ,26
E17 ,242
E18 ,12
E2 ,8
E20 ,1
E3 ,7
E4 ,210
E5 ,24
E6 ,44
E7 ,20
E8 ,10
E9 ,9
EC1M ,1
EC1V ,3
EC2R ,1
EH10 ,55
EH11 ,9
EH12 ,50
EH13 ,16
EH14 ,62
EH15 ,34
EH16 ,40
EH17 ,38
EH18 ,10
EH19 ,37
EH20 ,15
EH21 ,32
EH22 ,59
EH23 ,26
EH24 ,3
EH25 ,12
EH26 ,51
EH27 ,32
EH28 ,9
EH29 ,19
EH30 ,31
EH31 ,8
EH32 ,60
EH33 ,23
EH34 ,12
EH35 ,4
EH36 ,5
EH37 ,11
EH38 ,2
EH39 ,38
EH4 ,61
EH40 ,13
EH41 ,57
EH42 ,45
EH43 ,7
EH44 ,16
EH45 ,60
EH46 ,32
EH47 ,99
EH48 ,120
EH49 ,76
EH5 ,11
EH51 ,40
EH52 ,68
EH53 ,46
EH54 ,206
EH55 ,45
EH6 ,4
EH7 ,16
EH8 ,8
EH9 ,15
EN1 ,27
EN10 ,56
EN11 ,45
EN2 ,28
EN3 ,47
EN4 ,28
EN5 ,39
EN6 ,36
EN7 ,72
EN8 ,95
EN9 ,43
EX1 ,101
EX10 ,149
EX11 ,79
EX12 ,61
EX13 ,125
EX14 ,215
EX15 ,200
EX16 ,281
EX17 ,244
EX18 ,41
EX19 ,51
EX2 ,306
EX20 ,245
EX21 ,86
EX22 ,172
EX23 ,157
EX24 ,43
EX3 ,43
EX31 ,215
EX32 ,185
EX33 ,110
EX34 ,145
EX35 ,13
EX36 ,101
EX37 ,58
EX38 ,74
EX39 ,337
EX4 ,231
EX5 ,198
EX6 ,144
EX7 ,114
EX8 ,214
EX9 ,37
FK1 ,99
FK10 ,159
FK11 ,7
FK12 ,23
FK13 ,23
FK14 ,28
FK15 ,79
FK16 ,20
FK17 ,72
FK19 ,15
FK2 ,129
FK20 ,20
FK21 ,16
FK3 ,17
FK4 ,49
FK5 ,53
FK6 ,68
FK7 ,303
FK8 ,177
FK9 ,63
FY1 ,49
FY2 ,53
FY3 ,52
FY4 ,87
FY5 ,147
FY6 ,115
FY7 ,115
FY8 ,88
G11 ,5
G12 ,17
G13 ,40
G14 ,4
G15 ,18
G2 ,2
G20 ,16
G21 ,88
G22 ,26
G23 ,19
G3 ,1
G31 ,5
G32 ,72
G33 ,87
G34 ,4
G40 ,599
G41 ,19
G42 ,4
G43 ,16
G44 ,18
G45 ,7
G46 ,27
G5 ,6
G51 ,14
G52 ,27
G53 ,75
G60 ,5
G61 ,63
G62 ,23
G63 ,100
G64 ,72
G65 ,27
G66 ,99
G67 ,193
G68 ,129
G69 ,83
G71 ,44
G72 ,184
G73 ,40
G74 ,141
G75 ,137
G76 ,40
G77 ,51
G78 ,73
G81 ,166
G82 ,70
G83 ,110
G84 ,78
GL1 ,58
GL10 ,88
GL11 ,118
GL12 ,77
GL13 ,44
GL14 ,115
GL15 ,168
GL16 ,93
GL17 ,82
GL18 ,96
GL19 ,86
GL2 ,337
GL20 ,168
GL3 ,154
GL4 ,246
GL5 ,161
GL50 ,104
GL51 ,579
GL52 ,257
GL53 ,90
GL54 ,104
GL55 ,19
GL56 ,31
GL6 ,142
GL7 ,168
GL8 ,30
GL9 ,16
GU1 ,55
GU10 ,70
GU11 ,33
GU12 ,79
GU14 ,116
GU15 ,83
GU16 ,72
GU17 ,38
GU18 ,20
GU19 ,15
GU2 ,68
GU20 ,8
GU21 ,111
GU22 ,82
GU23 ,26
GU24 ,53
GU25 ,7
GU26 ,15
GU27 ,39
GU28 ,13
GU29 ,24
GU3 ,40
GU30 ,31
GU31 ,48
GU32 ,37
GU33 ,45
GU34 ,211
GU35 ,79
GU4 ,52
GU46 ,51
GU47 ,55
GU5 ,36
GU51 ,39
GU52 ,124
GU6 ,44
GU7 ,47
GU8 ,44
GU9 ,70
HA0 ,32
HA1 ,29
HA2 ,29
HA3 ,79
HA4 ,36
HA5 ,52
HA6 ,25
HA7 ,36
HA8 ,29
HA9 ,38
HD1 ,39
HD2 ,123
HD3 ,120
HD4 ,100
HD5 ,127
HD6 ,91
HD7 ,100
HD8 ,189
HD9 ,151
HG1 ,71
HG2 ,95
HG3 ,171
HG4 ,165
HG5 ,88
HP1 ,41
HP10 ,62
HP11 ,23
HP12 ,40
HP13 ,95
HP14 ,43
HP15 ,54
HP16 ,54
HP17 ,30
HP18 ,70
HP19 ,57
HP2 ,82
HP20 ,57
HP21 ,124
HP22 ,125
HP23 ,57
HP27 ,56
HP3 ,95
HP4 ,45
HP5 ,68
HP6 ,50
HP7 ,21
HP8 ,14
HP9 ,47
HR1 ,218
HR2 ,331
HR3 ,85
HR4 ,182
HR5 ,42
HR6 ,150
HR7 ,80
HR8 ,128
HR9 ,145
HS1 ,8
HS2 ,48
HS3 ,3
HS4 ,1
HS6 ,27
HS7 ,19
HS8 ,35
HS9 ,11
HU1 ,2
HU10 ,93
HU11 ,102
HU12 ,235
HU13 ,36
HU14 ,49
HU15 ,199
HU16 ,64
HU17 ,283
HU18 ,68
HU19 ,48
HU2 ,8
HU20 ,12
HU3 ,63
HU4 ,70
HU5 ,90
HU6 ,72
HU7 ,289
HU8 ,123
HU9 ,153
HX1 ,34
HX2 ,159
HX3 ,115
HX4 ,61
HX5 ,38
HX6 ,55
HX7 ,51
IG1 ,29
IG10 ,39
IG11 ,163
IG2 ,19
IG3 ,23
IG4 ,15
IG5 ,16
IG6 ,24
IG7 ,38
IG8 ,48
IG9 ,13
IP1 ,152
IP10 ,48
IP11 ,271
IP12 ,281
IP13 ,203
IP14 ,337
IP15 ,33
IP16 ,81
IP17 ,147
IP18 ,35
IP19 ,125
IP2 ,148
IP20 ,71
IP21 ,147
IP22 ,205
IP23 ,66
IP24 ,116
IP25 ,242
IP26 ,103
IP27 ,118
IP28 ,142
IP29 ,65
IP3 ,171
IP30 ,124
IP31 ,153
IP32 ,65
IP33 ,117
IP4 ,211
IP5 ,154
IP6 ,148
IP7 ,139
IP8 ,98
IP9 ,139
IV1 ,18
IV10 ,35
IV11 ,4
IV12 ,108
IV13 ,2
IV14 ,25
IV15 ,37
IV16 ,13
IV17 ,43
IV18 ,35
IV19 ,28
IV2 ,252
IV20 ,26
IV21 ,20
IV22 ,15
IV23 ,6
IV24 ,18
IV25 ,36
IV26 ,27
IV27 ,43
IV28 ,7
IV3 ,43
IV30 ,259
IV31 ,34
IV32 ,52
IV36 ,162
IV4 ,47
IV40 ,33
IV41 ,1
IV42 ,7
IV43 ,2
IV45 ,2
IV46 ,1
IV47 ,2
IV49 ,7
IV5 ,15
IV51 ,25
IV53 ,2
IV54 ,20
IV55 ,8
IV56 ,5
IV6 ,42
IV63 ,18
IV7 ,71
IV8 ,7
IV9 ,12
KA1 ,79
KA10 ,50
KA11 ,102
KA12 ,64
KA13 ,54
KA15 ,18
KA16 ,12
KA17 ,14
KA18 ,114
KA19 ,41
KA2 ,27
KA20 ,22
KA21 ,52
KA22 ,31
KA23 ,26
KA24 ,22
KA25 ,13
KA26 ,40
KA27 ,47
KA28 ,6
KA29 ,11
KA3 ,199
KA30 ,29
KA4 ,24
KA5 ,74
KA6 ,120
KA7 ,90
KA8 ,29
KA9 ,56
KT1 ,13
KT10 ,31
KT11 ,25
KT12 ,39
KT13 ,26
KT14 ,31
KT15 ,50
KT16 ,47
KT17 ,33
KT18 ,36
KT19 ,49
KT2 ,38
KT20 ,46
KT21 ,40
KT22 ,96
KT23 ,42
KT24 ,32
KT3 ,51
KT4 ,31
KT5 ,18
KT6 ,25
KT7 ,17
KT8 ,27
KT9 ,31
KW1 ,87
KW10 ,23
KW12 ,21
KW14 ,114
KW15 ,41
KW16 ,47
KW17 ,74
KW2 ,2
KW3 ,15
KW5 ,5
KW6 ,7
KW8 ,4
KW9 ,18
KY1 ,49
KY10 ,45
KY11 ,199
KY12 ,142
KY13 ,77
KY14 ,38
KY15 ,161
KY16 ,132
KY2 ,95
KY3 ,29
KY4 ,71
KY5 ,60
KY6 ,71
KY7 ,136
KY8 ,124
KY9 ,19
L1 ,1
L10 ,44
L11 ,110
L12 ,114
L13 ,37
L14 ,273
L15 ,27
L16 ,16
L17 ,31
L18 ,21
L19 ,35
L20 ,34
L21 ,68
L22 ,14
L23 ,68
L24 ,47
L25 ,258
L26 ,121
L27 ,118
L28 ,33
L29 ,4
L3 ,3
L30 ,97
L31 ,88
L32 ,393
L33 ,329
L34 ,65
L35 ,295
L36 ,282
L37 ,70
L38 ,11
L39 ,82
L4 ,25
L40 ,93
L5 ,21
L6 ,20
L69 ,1
L7 ,15
L8 ,47
L9 ,49
LA1 ,101
LA10 ,25
LA11 ,66
LA12 ,130
LA13 ,62
LA14 ,53
LA15 ,23
LA16 ,21
LA17 ,10
LA18 ,30
LA19 ,16
LA2 ,106
LA20 ,18
LA21 ,4
LA22 ,18
LA23 ,12
LA3 ,89
LA4 ,69
LA5 ,84
LA6 ,91
LA7 ,31
LA8 ,59
LA9 ,103
LD1 ,89
LD2 ,41
LD3 ,127
LD4 ,4
LD5 ,8
LD6 ,31
LD7 ,47
LD8 ,38
LE1 ,4
LE10 ,277
LE11 ,310
LE12 ,338
LE13 ,261
LE14 ,159
LE15 ,326
LE16 ,165
LE17 ,148
LE18 ,237
LE19 ,78
LE2 ,484
LE3 ,724
LE4 ,864
LE5 ,336
LE6 ,124
LE65 ,78
LE67 ,388
LE7 ,291
LE8 ,253
LE9 ,412
LL11 ,260
LL12 ,203
LL13 ,262
LL14 ,310
LL15 ,97
LL16 ,101
LL17 ,39
LL18 ,121
LL19 ,69
LL20 ,61
LL21 ,49
LL22 ,104
LL23 ,17
LL24 ,12
LL25 ,2
LL26 ,23
LL27 ,2
LL28 ,35
LL29 ,40
LL30 ,40
LL31 ,26
LL32 ,26
LL33 ,8
LL34 ,9
LL35 ,1
LL36 ,27
LL37 ,1
LL38 ,13
LL40 ,18
LL41 ,14
LL42 ,4
LL44 ,5
LL45 ,4
LL46 ,10
LL47 ,5
LL48 ,8
LL49 ,19
LL51 ,6
LL52 ,10
LL53 ,99
LL54 ,50
LL55 ,52
LL56 ,13
LL57 ,77
LL58 ,17
LL59 ,25
LL60 ,10
LL61 ,29
LL62 ,16
LL63 ,4
LL64 ,11
LL65 ,94
LL66 ,3
LL67 ,12
LL68 ,33
LL69 ,5
LL70 ,3
LL71 ,15
LL72 ,9
LL73 ,3
LL74 ,13
LL75 ,6
LL76 ,2
LL77 ,22
LL78 ,5
LN1 ,172
LN10 ,69
LN11 ,290
LN12 ,231
LN13 ,98
LN2 ,288
LN3 ,117
LN4 ,377
LN5 ,223
LN6 ,518
LN7 ,56
LN8 ,178
LN9 ,85
LS1 ,1
LS10 ,128
LS11 ,35
LS12 ,100
LS13 ,112
LS14 ,264
LS15 ,113
LS16 ,134
LS17 ,110
LS18 ,49
LS19 ,61
LS2 ,2
LS20 ,44
LS21 ,59
LS22 ,89
LS23 ,69
LS24 ,69
LS25 ,255
LS26 ,144
LS27 ,226
LS28 ,143
LS29 ,100
LS3 ,3
LS4 ,7
LS5 ,33
LS6 ,44
LS7 ,41
LS8 ,55
LS9 ,36
LU1 ,60
LU2 ,99
LU3 ,120
LU4 ,128
LU5 ,101
LU6 ,78
LU7 ,182
M1 ,12
M11 ,32
M12 ,22
M13 ,9
M14 ,51
M15 ,3
M16 ,41
M17 ,4
M18 ,21
M19 ,32
M20 ,66
M21 ,44
M22 ,301
M23 ,96
M24 ,540
M25 ,45
M26 ,146
M27 ,92
M28 ,236
M29 ,111
M3 ,3
M30 ,77
M31 ,58
M32 ,35
M33 ,126
M34 ,406
M35 ,44
M38 ,94
M4 ,4
M40 ,353
M41 ,83
M43 ,92
M44 ,61
M45 ,57
M46 ,211
M5 ,14
M50 ,1
M6 ,30
M7 ,37
M8 ,94
M9 ,243
ME1 ,76
ME10 ,145
ME11 ,25
ME12 ,152
ME13 ,86
ME14 ,86
ME15 ,162
ME16 ,82
ME17 ,143
ME18 ,23
ME19 ,52
ME2 ,118
ME20 ,52
ME3 ,132
ME4 ,40
ME5 ,141
ME6 ,20
ME7 ,84
ME8 ,146
ME9 ,97
MK1 ,7
MK10 ,110
MK11 ,38
MK12 ,20
MK13 ,77
MK14 ,87
MK15 ,48
MK16 ,109
MK17 ,89
MK18 ,141
MK19 ,72
MK2 ,31
MK3 ,128
MK4 ,118
MK40 ,59
MK41 ,175
MK42 ,112
MK43 ,171
MK44 ,73
MK45 ,155
MK46 ,60
MK5 ,72
MK6 ,58
MK7 ,49
MK8 ,50
MK9 ,3
ML1 ,142
ML10 ,47
ML11 ,207
ML12 ,73
ML2 ,117
ML3 ,162
ML4 ,60
ML5 ,102
ML6 ,125
ML7 ,65
ML8 ,92
ML9 ,54
N1 ,15
N10 ,22
N11 ,15
N12 ,19
N13 ,20
N14 ,24
N15 ,8
N16 ,24
N17 ,26
N18 ,19
N19 ,15
N1C ,1
N2 ,8
N20 ,19
N21 ,13
N22 ,15
N3 ,20
N4 ,19
N5 ,10
N6 ,14
N7 ,17
N8 ,19
N9 ,14
NE1 ,1
NE10 ,277
NE11 ,80
NE12 ,154
NE13 ,102
NE15 ,144
NE16 ,104
NE17 ,14
NE18 ,4
NE19 ,37
NE2 ,21
NE20 ,64
NE21 ,44
NE22 ,79
NE23 ,358
NE24 ,162
NE25 ,141
NE26 ,56
NE27 ,36
NE28 ,195
NE29 ,91
NE3 ,255
NE30 ,68
NE31 ,153
NE32 ,107
NE33 ,49
NE34 ,476
NE35 ,44
NE36 ,29
NE37 ,490
NE38 ,562
NE39 ,38
NE4 ,98
NE40 ,63
NE41 ,9
NE42 ,98
NE43 ,39
NE44 ,9
NE45 ,13
NE46 ,96
NE47 ,111
NE48 ,70
NE49 ,26
NE5 ,325
NE6 ,65
NE61 ,176
NE62 ,36
NE63 ,196
NE64 ,13
NE65 ,184
NE66 ,110
NE67 ,8
NE68 ,41
NE69 ,2
NE7 ,47
NE70 ,17
NE71 ,33
NE8 ,32
NE9 ,123
NG1 ,5
NG10 ,288
NG11 ,273
NG12 ,315
NG13 ,150
NG14 ,160
NG15 ,248
NG16 ,421
NG17 ,541
NG18 ,205
NG19 ,504
NG2 ,195
NG20 ,223
NG21 ,306
NG22 ,391
NG23 ,235
NG24 ,317
NG25 ,50
NG3 ,157
NG31 ,334
NG32 ,118
NG33 ,98
NG34 ,402
NG4 ,162
NG5 ,529
NG6 ,249
NG7 ,68
NG8 ,202
NG9 ,359
NN1 ,24
NN10 ,213
NN11 ,170
NN12 ,125
NN13 ,107
NN14 ,245
NN15 ,238
NN16 ,79
NN17 ,141
NN18 ,205
NN2 ,96
NN29 ,71
NN3 ,266
NN4 ,184
NN5 ,123
NN6 ,225
NN7 ,156
NN8 ,263
NN9 ,164
NP10 ,96
NP11 ,210
NP12 ,123
NP13 ,34
NP15 ,159
NP16 ,310
NP18 ,79
NP19 ,202
NP20 ,207
NP22 ,47
NP23 ,102
NP24 ,2
NP25 ,299
NP26 ,475
NP4 ,186
NP44 ,215
NP7 ,413
NP8 ,49
NR1 ,54
NR10 ,184
NR11 ,170
NR12 ,247
NR13 ,280
NR14 ,240
NR15 ,179
NR16 ,135
NR17 ,155
NR18 ,140
NR19 ,144
NR2 ,52
NR20 ,203
NR21 ,126
NR22 ,3
NR23 ,22
NR24 ,34
NR25 ,77
NR26 ,58
NR27 ,71
NR28 ,142
NR29 ,252
NR3 ,57
NR30 ,107
NR31 ,305
NR32 ,207
NR33 ,244
NR34 ,210
NR35 ,122
NR4 ,102
NR5 ,126
NR6 ,135
NR7 ,167
NR8 ,136
NR9 ,168
NW1 ,14
NW10 ,36
NW11 ,10
NW2 ,26
NW3 ,3
NW4 ,21
NW5 ,19
NW6 ,21
NW7 ,29
NW8 ,2
NW9 ,24
OL1 ,54
OL10 ,98
OL11 ,159
OL12 ,180
OL13 ,65
OL14 ,46
OL15 ,44
OL16 ,131
OL2 ,226
OL3 ,37
OL4 ,106
OL5 ,88
OL6 ,201
OL7 ,161
OL8 ,137
OL9 ,204
OX1 ,30
OX10 ,117
OX11 ,88
OX12 ,90
OX13 ,47
OX14 ,137
OX15 ,84
OX16 ,141
OX17 ,83
OX18 ,214
OX2 ,94
OX20 ,27
OX25 ,47
OX26 ,183
OX27 ,54
OX28 ,172
OX29 ,223
OX3 ,73
OX33 ,42
OX39 ,27
OX4 ,107
OX44 ,30
OX49 ,18
OX5 ,111
OX7 ,253
OX9 ,45
PA1 ,11
PA10 ,4
PA11 ,18
PA12 ,42
PA13 ,16
PA14 ,67
PA15 ,13
PA16 ,44
PA17 ,4
PA18 ,9
PA19 ,17
PA2 ,84
PA20 ,24
PA21 ,3
PA22 ,10
PA23 ,73
PA24 ,1
PA25 ,1
PA27 ,9
PA28 ,31
PA29 ,34
PA3 ,196
PA30 ,2
PA31 ,47
PA32 ,3
PA33 ,8
PA34 ,60
PA35 ,14
PA37 ,36
PA38 ,16
PA4 ,25
PA41 ,3
PA42 ,2
PA44 ,1
PA46 ,1
PA47 ,1
PA48 ,2
PA5 ,59
PA6 ,13
PA61 ,2
PA64 ,2
PA66 ,5
PA67 ,6
PA7 ,9
PA70 ,1
PA71 ,2
PA72 ,6
PA73 ,6
PA74 ,1
PA75 ,18
PA76 ,6
PA77 ,7
PA78 ,4
PA8 ,75
PA9 ,18
PE1 ,1020
PE10 ,202
PE11 ,342
PE12 ,337
PE13 ,222
PE14 ,194
PE15 ,241
PE16 ,81
PE19 ,299
PE2 ,863
PE20 ,142
PE21 ,234
PE22 ,189
PE23 ,84
